ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_PRINTED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,STORAGE_TYPE,CUT_OPTION,Source Data
54611,,China Seas,,54611,SI-54611,2/28/2023,3/14/2023,,,3/14/2023,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,4,,,4,4,2.95,11.8,,,11.8,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54611,,China Seas,,54611,SI-54611,2/28/2023,3/14/2023,,,3/14/2023,3/51-100P,3 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,APPROVED,84,,,84,84,20.5,1722,,,1722,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54612,,China Seas,,54612,SI-54612,2/28/2023,3/14/2023,,,3/14/2023,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,APPROVED,22,,,22,22,20,440,,,440,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54613,,China Seas,,54613,SI-54613,2/28/2023,3/14/2023,,,3/14/2023,W3/48-96P,Wall Paper 3 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,60,,,60,60,19.25,1155,,,1155,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54614,,China Seas,,54614,SI-54614,2/28/2023,3/14/2023,,,3/14/2023,W3/12-24P,Wall Paper 3 Color Min 6 Rolls 12-24,,Invoiced,APPROVED,21,,,21,21,23.75,498.75,,,498.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54622,,China Seas,,54622,SI-54622,3/1/2023,3/15/2023,,,3/15/2023,W1/6-12P,Wall Paper 1 Color Min 6 Rolls 6-12,,Invoiced,APPROVED,12,,,12,12,17.5,210,,,210,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54623,,China Seas,,54623,SI-54623,3/1/2023,3/15/2023,,,3/15/2023,W3/12-24P,Wall Paper 3 Color Min 6 Rolls 12-24,,Invoiced,APPROVED,21,,,21,21,23.75,498.75,,,498.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54626,,China Seas,,54626,SI-54626,3/1/2023,3/15/2023,,,3/15/2023,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,APPROVED,15,,,15,15,20,300,,,300,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54627,,China Seas,,54627,SI-54627,3/1/2023,3/15/2023,,,3/15/2023,4/26/1950P,4 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,49,,,49,49,22.5,1102.5,,,1102.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54630,,China Seas,,54630,SI-54630,3/2/2023,3/16/2023,,,3/16/2023,W1/6-12P,Wall Paper 1 Color Min 6 Rolls 6-12,,Invoiced,APPROVED,12,,,12,12,17.5,210,,,210,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54634,,China Seas,,54634,SI-54634,3/2/2023,3/16/2023,,,3/16/2023,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,4,,,4,4,2.95,11.8,,,11.8,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54634,,China Seas,,54634,SI-54634,3/2/2023,3/16/2023,,,3/16/2023,3/51-100P,3 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,APPROVED,96,,,96,96,20.5,1968,,,1968,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54663,,China Seas,,54663,SI-54663,3/7/2023,3/21/2023,,,3/21/2023,W4/24-48P,Wall Paper 4 Color Min 6 Rolls 24-48,,Invoiced,APPROVED,30,,,30,30,23.5,705,,,705,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54669,,China Seas,,54669,SI-54669,3/7/2023,3/21/2023,,,3/21/2023,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,3,,,3,3,2.95,8.85,,,8.85,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54669,,China Seas,,54669,SI-54669,3/7/2023,3/21/2023,,,3/21/2023,4/10/2025P,4 Colors 10-25 Yards Printed,,Invoiced,APPROVED,63,,,63,63,23,1449,,,1449,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54674,,China Seas,,54674,SI-54674,3/9/2023,3/23/2023,,,3/23/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,15,,,15,15,20.75,311.25,,,311.25,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54675,,China Seas,,54675,SI-54675,3/9/2023,3/23/2023,,,3/23/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,18,,,18,18,20.75,373.5,,,373.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54680,,China Seas,,54680,SI-54680,3/9/2023,3/23/2023,,,3/23/2023,W1/48-96P,Wall Paper 1 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,50,,,50,50,16.75,837.5,,,837.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54681,,China Seas,,54681,SI-54681,3/9/2023,3/23/2023,,,3/23/2023,3/26/1950P,3 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,37,,,37,37,21,777,,,777,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54682,,China Seas,,54682,SI-54682,3/9/2023,3/23/2023,,,3/23/2023,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,APPROVED,18,,,18,18,20,360,,,360,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54687,,China Seas,,54687,SI-54687,3/10/2023,3/24/2023,,,3/24/2023,W2/6-12P,Wall Paper 2 Color Min 6 Rolls 6-12,,Invoiced,APPROVED,12,,,12,12,19.1,229.2,,,229.2,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54697,,China Seas,,54697,SI-54697,3/10/2023,3/24/2023,,,3/24/2023,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,36,,,36,36,20.25,729,,,729,,,,,,,,,,,,,,Screen Print,,,,,,Everest
54721,,China Seas,,54721,SI-54721,3/13/2023,3/27/2023,,,3/27/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,12,,,12,12,20.75,249,,,249,,,,,,,,,,,,,,Screen Print,,,,,,Everest
