ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,CORRECT_AMOUNT_PRINTED,PRINTED_WIDTH,PRINTED_HEIGHT,STORAGE_TYPE,CUT_OPTION,Source Data,Product Type,Memo Yield,Yield,Type Yards vs Fees,Act Print Date,Single Kit Order Number,All Kit Order Number,Kitted vs NOT Kitted,Schu Grounds,Category Customer MTO,Single Ground Price,Kit Ground Price,Kit Produced Income,Calc Yards Produced,Schu Ground Yards,Order-Line,Unit Price Ordered,Ground Direct No Print,Division,New Goods Flag,Holding to Invoice,Single Held to Invoice,New Goods,WIP,Machine Name,Manual Machine Name,Machine Name Combined
53923,,Quadrille Inc.,,53923,SI-53923,11/21/2022,12/5/2022,,,12/5/2022,W1/48-96P,Wall Paper 1 Color Min 6 Rolls 48-29,,Invoiced,Approved,54,54,,,54,16.75,904.5,,,904.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Paper,,1,Yards,44900,,,NOT Kitted,,Paper,0,0,0,54,,53923-,16.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
53924,,Quadrille Inc.,,53924,SI-53924,11/21/2022,12/5/2022,,,12/5/2022,4/10/2025P,4 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,23,552,,,552,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44900,,,NOT Kitted,,Fabric,0,0,0,24,,53924-,23,0,Screen Print,,DONE,DONE,Other,DONE,,,
53925,,Quadrille Inc.,,53925,SI-53925,11/21/2022,12/5/2022,,,12/5/2022,SG2215P,Regular Waeve Sisal,,Invoiced,Approved,80,80,,,80,9,720,,,720,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Grass,,1,Yards,44900,,,NOT Kitted,,Grass,0,0,0,80,,53925-,9,0,Screen Print,,DONE,DONE,Other,DONE,,,
53925,,Quadrille Inc.,,53925,SI-53925,11/21/2022,12/5/2022,,,12/5/2022,GC2/6-12P,GRASS CLOTH 2 COLOR 6-12 ROLLS,,Invoiced,Approved,80,80,,,80,9.5,760,,,760,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Grass,,1,Yards,44900,,,NOT Kitted,,Grass,0,0,0,80,,53925-,9.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
53944,,Quadrille Inc.,,53944,SI-53944,11/23/2022,12/7/2022,,,12/7/2022,4/26/1950P,4 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,32,32,,,32,22.5,720,,,720,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44902,,,NOT Kitted,,Fabric,0,0,0,32,,53944-,22.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
53950,,Quadrille Inc.,,53950,SI-53950,11/24/2022,12/8/2022,,,12/8/2022,5/51-100P,5 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,Approved,75,75,,,75,23.5,1762.5,,,1762.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44903,,,NOT Kitted,,Fabric,0,0,0,75,,53950-,23.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
53951,,Quadrille Inc.,,53951,SI-53951,11/24/2022,12/8/2022,,,12/8/2022,3/10/2025P,3 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,21.5,516,,,516,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44903,,,NOT Kitted,,Fabric,0,0,0,24,,53951-,21.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
53962,,Quadrille Inc.,,53962,SI-53962,11/25/2022,12/9/2022,,,12/9/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,35,35,,,35,20.25,708.75,,,708.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44904,,,NOT Kitted,,Fabric,0,0,0,35,,53962-,20.25,0,Screen Print,,DONE,DONE,Other,DONE,,,
53963,,Quadrille Inc.,,53963,SI-53963,11/25/2022,12/9/2022,,,12/9/2022,W5/24-48P,Wall Paper 5 Color Min 6 Rolls 24-48,,Invoiced,Approved,36,36,,,36,26.5,954,,,954,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Paper,,1,Yards,44904,,,NOT Kitted,,Paper,0,0,0,36,,53963-,26.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
53977,,Quadrille Inc.,,53977,SI-53977,11/28/2022,12/12/2022,,,12/12/2022,3/10/2025P,3 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,21.5,516,,,516,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44907,,,NOT Kitted,,Fabric,0,0,0,24,,53977-,21.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
