Vendor,Order Type,Material Shu vs Non Shu,Order Type Screen All Together,MATERIAL,Substrate Description,Current vs Old Sku,Replacement Ground,Material Group,Material Color,Material Group - Color,Product Type,Material Width,Cost Per Yard,Avg Sisal Cost Per Yard,All Grounds Cost Per Yard,Curr Vendor Cost Per Yard,FOB Cost Per Yard,On Hand Yards,BNY On Hand,Para On Hand,2025 Ground,3rd Party Price,Schumacher Price,Lead Time (in weeks),Lead Time in Months
OMNI W.C. INC,Screen Print,Schu,Screen Print,"PARGR-FS-5008741 30"" 500Y",MOONSTONE CUSTOM COATED,Current,"PARGR-FS-5008741 30"" 500Y",Custom Coating,MOONSTONE,Custom Coating-MOONSTONE,PAPER,30,1.38,1.38,1.38,1.2,,5000,0,5000,,1.56,1.56,,1.5
OMNI W.C. INC,Screen Print,Schu,Screen Print,"PARCPG-optic 1 60"" 125Y",CUSTOM COATED,Current,"PARCPG-optic 1 60"" 125Y",Custom Coating,Optic,Custom Coating-Optic,PAPER,60,1.84,1.84,1.84,1.2,,2250,0,2250,"PARCPG-optic 1 60"" 125Y",2.5,2.5,4-6 weeks,1.5
OMNI W.C. INC,Screen Print,Schu,Screen Print,"PARGR-FS-5003282 30"" 500Y",CUSTOM COATED SILVER,Current,"PARGR-FS-5003282 30"" 500Y",Custom Coating,SILVER,Custom Coating-SILVER,PAPER,30,1.38,1.38,1.38,1.2,,5000,0,5000,,1.56,1.56,,1.5
OMNI W.C. INC,Screen Print,Schu,Screen Print,"PARGR-FS-5006921 30"" 500Y",PH TOBACCO COATED PAPER (CUSTOM),Current,"PARGR-FS-5006921 30"" 500Y",Custom Coating,Tobacco,Custom Coating-Tobacco,PAPER,30,1.35,1.35,1.35,1.2,,4000,0,4000,"PARGR-FS-5006921 30"" 500Y",1.6,1.6,4-6 weeks,1.5
OMNI W.C. INC,Screen Print,Schu,Screen Print,"PARGR-FS-5006922 30"" 500Y",PH WHITE COATED PAPER (CUSTOM),Current,"PARGR-FS-5006922 30"" 500Y",Custom Coating,White,Custom Coating-White,PAPER,30,1.1,1.1,1.1,1.2,,6000,0,6000,"PARGR-FS-5006922 30"" 500Y",1.6,1.6,4-6 weeks,1.5
"NEENAH, INC",Digital,Schu,Digital,BNYDigiscape,Smooth Matte,Current,BNYDigiscape,Digiscape,,Digiscape-,PAPER,54,6.5,6.5,6.5,6.5,,2500,2500,0,BNYDigiscape,,,,
Dolly Fabrics,Screen Print,Schu,Screen Print,PARSILK MATKA,Dolly Silk Matka,Current,PARSILK MATKA,Dolly Silk Matka,White,Dolly Silk Matka-White,FABRIC,60,40,40,40,40,,81,0,81,,40,40,,1.5
WALLQUEST,Digital,Schu,Digital,E019 Vinal Sisal,E019 Vinal Sisal,Current,E019 Vinal Sisal,E019 Vinal Sisal,,E019 Vinal Sisal-,PAPER,54,5.1,5.1,5.1,5.1,,300,300,0,,,,8-10 weeks,1.5
RTE Machinery,Screen Print,Schu,Screen Print,PAREmmeron Bleached,Emmeron Bleached,Current,PAREmmeron Bleached,Emmeron Bleached,,Emmeron Bleached-,FABRIC,60,2.75,2.75,2.75,2.75,,985,0,985,,,,,
GREENLAND,Digital,Schu,Digital,"BNYGreenland 54"" 50Y",PAPER BACKED LINEN,Current,"BNYGreenland 54"" 50Y",Greenland,,Greenland-,PAPER,54,9.25,9.25,9.25,9.25,,2200,2200,0,"BNYGreenland 54"" 50Y",,,,
Griswold,Screen Print,Schu,Screen Print,PARSailcloth (Natural),Sailcloth (Natural),Current,PARSailcloth (Natural),Griswold Sailcloth,Natural,Griswold Sailcloth-Natural,FABRIC,60,8,8,8,8,,3645,0,3645,PARSailcloth (Natural),10.4,10.4,2-3 weeks,0.75
Griswold,Screen Print,Schu,Screen Print,PARSailcloth (White),Sailcloth (White),Current,PARSailcloth (White),Griswold Sailcloth,White,Griswold Sailcloth-White,FABRIC,60,8,8,8,8,,475,0,475,PARSailcloth (White),10.4,10.4,2-3 weeks,0.75
EPIC TEXTILES,Screen Print,Schu,Screen Print,PARHampton,100% Linen 58/60,Current,PARHampton,Hampton,White,Hampton-White,FABRIC,60,15.45,15.45,15.45,15.45,,464,0,464,PARLeon Bleached,17,17,1-2 weeks,0.5
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010858 Aloe,HARUKI SISAL 5010858 ALOE,Current,PNW5010858 Aloe,HARUKI SISAL,Aloe,HARUKI SISAL -Aloe,GRASS,36,4.78,5.9,4.66,4.66,,2400,0,2400,PNW5010858 Aloe,9,7,8-10 weeks,6
TWIL WALLCOVERINGS,Screen Print,Schu,Screen Print,PARNAT4108RSP Angora,NAT4108RSP ANGORA,Current,PARNAT4108RSP Angora,HARUKI SISAL,Angora,HARUKI SISAL -Angora,GRASS,36,7.7,5.9,7.7,7.7,,736,0,736,,10.01,10.01,8-10 weeks,6
TWIL WALLCOVERINGS,Screen Print,Schu,Screen Print,PARHBD1018T Blanc,BLANC SISAL,Current,PARHBD1018T Blanc,HARUKI SISAL,Blanc,HARUKI SISAL -Blanc,GRASS,36,4.78,5.9,7.7,4.66,,1661,0,1661,PARHBD1018T Blanc,9,7,8-10 weeks,6
TWIL WALLCOVERINGS,Screen Print,Schu,Screen Print,PARSG2203 Brown,SG2203 BROWN,Current,PARSG2203 Brown,HARUKI SISAL,Brown,HARUKI SISAL -Brown,GRASS,36,7.7,5.9,7.7,7.7,,368,0,368,,,,8-10 weeks,6
