ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
AC715-00,Mojave Lines,Vanilla,Fabric,,,60,36,,,Mojave Lines AC715-00 (Vanilla),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC950-11,Zig Zag Multi Color,Turquoise Fuschia,Fabric,,,60,36,,,Zig Zag Multi Color AC950-11 (Turquoise Fuschia),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302704F,Lane Stripe,Turquoise,Fabric,,,60,36,,,Lane Stripe 302704F (Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC204-31,Lascaux,Turquoise,Fabric,,,60,36,,,Lascaux AC204-31 (Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC809-05,Meloire Reverse,Turquoise,Fabric,,,60,36,,,Meloire Reverse AC809-05 (Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-07,MOJAVE,Turquoise,Fabric,,,60,36,,,Mojave AC709-07 (Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610-04LC,ANDROS BATIK,Sage,Fabric,,,60,36,,,ANDROS BATIK 7610-04LC (SAGE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306183F,Happy Garden Background,Rust Orange,Fabric,,,60,36,,,Happy Garden Background 306183F (Rust Orange),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306298CT,Links II,Blue New Blue,Fabric,,,60,36,,,Links II 306298CT (Blue New Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC107-01,Sahara,Beige,Fabric,,,60,36,,,Sahara AC107-01 (Beige),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490-07,FIORENTINA,PALE TERRACOTTA,Fabric,,,60,36,,,FIORENTINA 2490-07 (PALE TERRACOTTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306044F,Malaya,PALE AQUA,Fabric,,,60,36,,,Malaya 306044F (Pale Aqua),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302830C-06,Kazak,Orange Pale Magenta,Fabric,,,60,36,,,Kazak 302830C-06 (Orange Pale Magenta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC209-34,Soho,New Navy Magenta,Fabric,,,60,36,,,Soho AC209-34 (New Navy Magenta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6950-05,Chapelle Stripe,Red,Fabric,,,60,36,,,Chapelle Stripe 6950-05 (Red),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6955C-CSTRED,CHAPELLE STRIPE REVERSE,Red,Fabric,,,60,36,,,CHAPELLE STRIPE REVERSE 6955C-CSTRED (RED),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302725F-CU,INDEPENDENCE BACKGROUND,Red,Fabric,,,60,36,,,INDEPENDENCE BACKGROUND 302725F-CU (RED),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306050F,Malaya,Red,Fabric,,,60,36,,,Malaya 306050F (Red),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC820-28LC,Silvio,Red,Fabric,,,60,36,,,Silvio AC820-28LC (Red),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910T-09,Coco II,Terracotta,Fabric,,,60,36,,,Coco II AC910T-09 (Terracotta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490W-07,FIORENTINA,Terracotta,Fabric,,,60,36,,,FIORENTINA 2490W-07 (TERRACOTTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC809-14,Meloire Reverse,Terracotta,Fabric,,,60,36,,,Meloire Reverse AC809-14 (Terracotta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2330-07,SAN MARCO,Terracotta,Fabric,,,60,36,,,SAN MARCO 2330-07 (TERRACOTTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306106F,Adras,Royal Blue,Fabric,,,60,36,,,Adras 306106F (Royal Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-03,Safari,Medium Turquoise,Fabric,,,60,36,,,Safari AC855-03 (Medium Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC850-03,Safari Embroidery,Medium Turquoise,Fabric,,,60,36,,,Safari Embroidery AC850-03 (Medium Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8150-04,CEYLON BATIK,MEDIUM BLUE,Fabric,,,60,36,,,CEYLON BATIK 8150-04 (MEDIUM BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306700F-06,Chantilly Stripe,SLATE BLUE,Fabric,,,60,36,,,Chantilly Stripe 306700F-06 (Slate Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304210F-07,FERN CLIFF,SLATE BLUE,Fabric,,,60,36,,,fern Cliff 304210F-07 (Slate Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
149-201,NITIK II,Sky Blue,Fabric,,,60,36,,,NITIK II 149-201 (SKY BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC940-11,RIC RAC REVERSE,Sky Blue,Fabric,,,60,36,,,RIC RAC REVERSE AC940-11 (SKY BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
307260F-100,BORGHESE,Beige Turquoise,Fabric,,,60,36,,,Borghese 307260F-100 (Beige Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302830C-07W,Kazak,Aqua Royal Blue,Fabric,,,60,36,,,Kazak 302830C-07W (Aqua Royal Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
149-75,NITIK II,APRICOT BALI BLUE,Fabric,,,60,36,,,NITIK II 149-75 (APRICOT BALI BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
149-37,NITIK II,AGATE SLATE,Fabric,,,60,36,,,NITIK II 149-37 (AGATE SLATE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6040-06,Bangalore Paisley,Taupe,Fabric,,,60,36,,,Bangalore Paisley 6040-06 (Taupe),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7360-06,BRANTAS BATIC,MULTI BLUES ON TINTED LC,Fabric,,,60,36,,,BRANTAS BATIC 7360-06 (MULTI BLUES ON TINTED LC),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910-05,Coco II,FRENCH GREEN ON WHITE LINEN,Fabric,,,60,36,,,COCO II AC910-05 (FRENCH GREEN ON WHITE LINEN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910-03,Coco II,LAVENDER ON WHITE LINEN,Fabric,,,60,36,,,COCO II AC910-03 (LAVENDER ON WHITE LINEN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910-06,Coco II,New Blue,Fabric,,,60,36,,,COCO II AC910-06 (New Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC702-34,Soho,New Navy Magenta,Fabric,,,60,36,,,Soho AC702-34 (New Navy Magenta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC820-27,Silvio,New Inca,Fabric,,,60,36,,,Silvio AC820-27 (New Inca),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-11,MOJAVE,Mocha,Fabric,,,60,36,,,Mojave AC709-11 (Mocha),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6650-01,OBI II,Turquoise,Fabric,,,60,36,,,OBI II 6650-01 (TURQUOISE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
301980F,Paradise Background,Turquoise,Fabric,,,60,36,,,Paradise Background 301980F (Turquoise),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8330-01,PEACOCK BLOTCH,Turquoise,Fabric,,,60,36,,,PEACOCK BLOTCH 8330-01 (TURQUOISE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2330-03,SAN MARCO,Turquoise,Fabric,,,60,36,,,SAN MARCO 2330-03 (TURQUOISE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC115-04,Juan Les Pins,Bali Blue,Fabric,,,60,36,,,Juan Les Pins AC115-04 (Bali Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC403C-16CST,CRISS CROSS CUSTOM,BROWN ON TI ON TINTED LC,Fabric,,,60,36,,,CRISS CROSS CUSTOM AC403C-16CST (BROWN ON TI ON TINTED LC),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910-07,DOVE GRAY ON WH ON WHITE LINEN,Dove Gray,Fabric,,,60,36,,,DOVE GRAY ON WH ON WHITE LINEN AC910-07 (Dove Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7230-07,AQUA II,Magenta,Fabric,,,60,36,,,AQUA II 7230-07 (MAGENTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7240-07,AQUA IV,Magenta,Fabric,,,60,36,,,AQUA IV 7240-07 (MAGENTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306187F,Happy Garden Background,Magenta,Fabric,,,60,36,,,Happy Garden Background 306187F (Magenta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302525F,Hingham Plaid,Magenta,Fabric,,,60,36,,,Hingham Plaid 302525F (Magenta),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910T-08,Coco II,INCA GOLD,Fabric,,,60,36,,,Coco II AC910T-08 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC403-13,CRISS CROSS,INCA GOLD,Fabric,,,60,36,,,Criss Cross AC403-13 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2220-13,EDO,INCA GOLD,Fabric,,,60,36,,,EDO 2220-13 (INCA GOLD),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304210F-04,FERN CLIFF,INCA GOLD,Fabric,,,60,36,,,Fern Cliff 304210F-04 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC120-09,Laurel Reverse,Reef Blue,Fabric,,,60,36,,,Laurel Reverse AC120-09 (Reef Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8250-03,BARBADOS BATIK,PURPLE MEDIUM PURPLE,Fabric,,,60,36,,,BARBADOS BATIK 8250-03 (PURPLE MEDIUM PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8055-01,ZIGGURAT REV LARGE SC,Turquoise,Fabric,,,60,36,,,ZIGGURAT REV LARGE SC 8055-01 (TURQUOISE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610-04,ANDROS BATIK,Sage,Fabric,,,60,36,,,ANDROS BATIK 7610-04 (SAGE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC820-15,Silvio,French Blue,Fabric,,,60,36,,,Silvio AC820-15 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC403-14,CRISS CROSS,Leaf,Fabric,,,60,36,,,Criss Cross AC403-14 (Leaf),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2110-01,Nairobi,Leaf,Fabric,,,60,36,,,Nairobi 2110-01 (Leaf),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
DK1070F-03,Panama II,Leaf,Fabric,,,60,36,,,Panama II DK1070F-03 (Leaf),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306580F-02,Ikat Stripe,Sea Blue,Fabric,,,60,36,,,Ikat Stripe 306580F-02 (Sea Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6620-02,JAVA GRANDE,Magenta,Fabric,,,60,36,,,JAVA GRANDE 6620-02 (MAGENTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6290-07,NEW CHRYSANTHEMUM,Magenta,Fabric,,,60,36,,,NEW CHRYSANTHEMUM 6290-07 (MAGENTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6650-05,OBI II,Magenta,Fabric,,,60,36,,,OBI II 6650-05 (MAGENTA),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306102FW,Adras,Inca,Fabric,,,60,36,,,Adras 306102FW (Inca),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302524F,Hingham Plaid,INCA GOLD,Fabric,,,60,36,,,Hingham Plaid 302524F (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC809-13,Meloire Reverse,INCA GOLD,Fabric,,,60,36,,,Meloire Reverse AC809-13 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2110-13,Nairobi,INCA GOLD,Fabric,,,60,36,,,Nairobi 2110-13 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC804B-05,Potalla Background,INCA GOLD,Fabric,,,60,36,,,Potalla Background AC804B-05 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-12,Safari,INCA GOLD,Fabric,,,60,36,,,Safari AC855-12 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC850-12,Safari Embroidery,INCA GOLD,Fabric,,,60,36,,,Safari Embroidery AC850-12 (Inca Gold),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC105-2LC,COUNTRY CHECK O YELLOW,GOLD ON ON TINTED,Fabric,,,60,36,,,COUNTRY CHECK O YELLOW AC105-2LC (GOLD ON ON TINTED),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6340-40,AGA,Purple,Fabric,,,60,36,,,AGA 6340-40 (PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6345-40,AGA REVERSE,Purple,Fabric,,,60,36,,,AGA REVERSE 6345-40 (PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610LC-10,ANDROS BATIK,Purple,Fabric,,,60,36,,,ANDROS BATIK 7610LC-10 (PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610-10,ANROS BATIK,Purple,Fabric,,,60,36,,,ANROS BATIK 7610-10 (PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
4010-40,JAVA JAVA,Purple,Fabric,,,60,36,,,JAVA JAVA 4010-40 (PURPLE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302830C-04,Kazak,Tobacco French Blue,Fabric,,,60,36,,,Kazak 302830C-04 (Tobacco French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6340-05,AGA,Taupe,Fabric,,,60,36,,,AGA 6340-05 (TAUPE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6345-05,AGA REVERSE,Taupe,Fabric,,,60,36,,,AGA REVERSE 6345-05 (TAUPE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC403-11,CRISS CROSS,Taupe,Fabric,,,60,36,,,Criss Cross AC403-11 (Taupe),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6170-21,ZIGGURAT,French Blue,Fabric,,,60,36,,,ZIGGURAT 6170-21 (FRENCH BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6175-21,ZIGGURAT REVERSE,French Blue,Fabric,,,60,36,,,ZIGGURAT REVERSE 6175-21 (FRENCH BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC120-06,Laurel Reverse,Pale Peach,Fabric,,,60,36,,,Laurel Reverse AC120-06 (Pale Peach),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC809-03W,Meloire Reverse,French Blue on White,Fabric,,,60,36,,,Meloire Reverse AC809-03W (FRNCH BLUE ON WHT),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304170F-03,MARTINE,Beige,Fabric,,,60,36,,,Martine 304170F-03 (Beige),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7980C-CSTAW,RAFFLES CUSTOM,CST AQUA ON WHITE L/C,Fabric,,,60,36,,,RAFFLES CUSTOM 7980C-CSTAW (CST AQUA ON WHITE L/C),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
307260F-110,Borghese 307260F-110 (CAMEL/BROWN OUTLINE),CAMEL/BROWN,Fabric,,,60,36,,,Borghese 307260F-110 (CAMEL/BROWN OUTLINE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-10,Safari Embroidery AC855-10 (Coco ON TINTED L/C),Coco,Fabric,,,60,36,,,Safari Embroidery AC855-10 (Coco ON TINTED L/C),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC209-38,Soho AC209-38 (NEW NAVY/NEW BROWN),NEW NAVY/NEW BROWN,Fabric,,,60,36,,,Soho AC209-38 (NEW NAVY/NEW BROWN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC105-4LC,COUNTRY CHECK AC105-4LC (JUNGLE GREEN/GREEN ON TNT),(JUNGLE GREEN/GREEN,Fabric,,,60,36,,,COUNTRY CHECK AC105-4LC (JUNGLE GREEN/GREEN ON TNT),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6450C-CSTTNN,MELONG BATIK 6450C-CSTTNN (CST NEW NAVY ON TINT LIN),NEW NAVY,Fabric,,,60,36,,,MELONG BATIK 6450C-CSTTNN (CST NEW NAVY ON TINT LIN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6450-01,MELONG BATIK,French Blue,Fabric,,,60,36,,,MELONG BATIK 6450-01 (FRENCH BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
6455-01,MELONG BATIK REVERSE,French Blue,Fabric,,,60,36,,,MELONG BATIK REVERSE 6455-01 (FRENCH BLUE),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
301989FWLC,Paradise Background,French Blue,Fabric,,,60,36,,,Paradise Background 301989FWLC (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
4050-05,Rio,French Blue,Fabric,,,60,36,,,Rio 4050-05 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
AC406-31,Jaybee,Turquoisel,Fabric,,,60,36,,,Jaybee AC406-31 (Turquoisel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
6170-03,ZIGGURAT,STEEL,Fabric,,,60,36,,,ZIGGURAT 6170-03 (STEEL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
DK1030F-106,Chant II,Soft Coral,Fabric,,,60,36,,,Chant II DK1030F-106 (Soft Coral),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
DK1035F-106,Chant Reverse II,Soft Coral,Fabric,,,60,36,,,Chant Reverse II DK1035F-106 (Soft Coral),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
DK1070F-106,Panama II,Soft Coral,Fabric,,,60,36,,,Panama II DK1070F-106 (Soft Coral),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
2475-05,SIGOURNEY SMALL SCALE,Lavender,Fabric,,,60,36,,,SIGOURNEY SMALL SCALE 2475-05 (LAVENDER),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
AC880-02,Tate,Lavender,Fabric,,,60,36,,,Tate AC880-02 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
AC302-03,ZIG ZAG,Lavender,Fabric,,,60,36,,,Zig Zag AC302-03 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
AC303-102,PETITE ZIG ZAG,Pale Gray,Fabric,,,60,36,,,Petite Zig Zag AC303-102 (Pale Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
9005-04,Indramayu,New Camel,Fabric,,,60,36,,,Indramayu 9005-04 (New Camel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
9010-04,Indramayu Reverse,New Camel,Fabric,,,60,36,,,Indramayu Reverse 9010-04 (New Camel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
AC305-09,Zig Zag Large Scale,Lavender,Fabric,,,60,36,,,Zig Zag Large Scale AC305-09 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,1,Fabric,LIFT
