ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
7610-05,ANDROS BATIK,GRAY,Fabric,,,60,36,,,ANDROS BATIK 7610-05 (GRAY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610LC-05,ANDROS BATIK,GRAY,Fabric,,,60,36,,,ANDROS BATIK 7610LC-05 (GRAY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490-02,FIORENTINA,PEWTER,Fabric,,,60,36,,,FIORENTINA 2490-02 (PEWTER),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-02,MOJAVE,Pinks,Fabric,,,60,36,,,Mojave AC709-02 (Pinks),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306046F,Malaya,GRAY,Fabric,,,60,36,,,Malaya 306046F (Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2525R-07,MAZE REV 1 COLOR,GRAY,Fabric,,,60,36,,,MAZE REV 1 COLOR 2525R-07 (GRAY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC935-03,Rick Rac,GRAY,Fabric,,,60,36,,,Rick Rac AC935-03 (Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302742F,Lane Stripe,Noir,Fabric,,,60,36,,,Lane Stripe 302742F (Noir),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306148F,Adras Reverse,New Soft Lavender,Fabric,,,60,36,,,Adras Reverse 306148F (New Soft Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302522F,Hingham Plaid,Green,Fabric,,,60,36,,,Hingham Plaid 302522F (Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
9015-02,II Blue Ikat WLC,Grayish Windsor,Fabric,,,60,36,,,II Blue Ikat WLC 9015-02 (Grayish Windsor),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7630-35,SUNNYJIM ALLOVER TWO COLOR,Pinks,Fabric,,,60,36,,,SUNNYJIM ALLOVER TWO COLOR 7630-35 (PINKS),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8230-08,Florals,Burgandy,Fabric,,,60,36,,,Florals 8230-08 (Burgandy),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2100-21,Conga Line,Black Gray,Fabric,,,60,36,,,Conga Line 2100-21 (Black Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8400-01W,NEWPORT RATTAN,Black Gray,Fabric,,,60,36,,,NEWPORT RATTAN 8400-01W (BLACK GRAY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-3,MOJAVE,Green,Fabric,,,60,36,,,Mojave AC709-3 (Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2220-02,EDO,Grass Green,Fabric,,,60,36,,,EDO 2220-02 (GRASS GREEN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
