ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,Source Data,STORAGE_TYPE,CUT_OPTION,Product Type,Type Yards vs Fees,Memo Yield,Yield,Material if Blank,Schu Grounds,Schu Ground Yards,Category Customer MTO,Single Kit Order Number,All Kit Order Number,Kitted Vs NOT Kitted,Single Ground Price,Kit Ground Price,Price NO Kitting,Kit Ordered Income,Qty Wasted,WIP,New Goods,Single Held to Invoice,Holding to Invoice,Number of Colors,Yards Written Rounded,Ground Direct No Print,Division,Order-Line,New Goods Flag,Machine Name,Single Yard Order Status,Yard Order Status
F0003255,4,Mally Skok Design,Contract,Sharantam Stripe,DES3341,7/18/2024,,8/9/2024,8/15/2024,8/23/2024,DSN00037,Shantaram Digitial WC mockup,--> Select Material,Invoiced,Approved,1,0,0,1,1,196,196,0,,196,EA,,,,,,,,,,,,,Digital,,,0,LIFT,,,Design Services,Design Services,,0,Creative Services,,,Design Services,,,NOT Kitted,0,0,196,0,0,DONE,Other,WIP,DONE,,0,0,Design Services,F0003255-4,,,,
F0005758,1,F. SCHUMACHER & CO - HOSPITALITY,MTO,Banana Leaf,INV5262,1/4/2025,,,1/4/2025,12/28/2024,DSN00050,Artwork & Screen Prep,Creative Services,Invoiced,Approved,1,0,0,1,1,100,100,0,,100,EA,,,,,,,,,,,,,Digital,,,0,LIFT,,,Design Services,Design Services,,0,Creative Services,,,Design Services,,,NOT Kitted,0,0,100,0,0,DONE,Other,WIP,DONE,,0,0,Design Services,F0005758-1,,,,
F0001297,1,F. SCHUMACHER & CO - MERCH,Contract,Oleander-J,DES1556,3/19/2024,,3/13/2024,3/22/2024,3/22/2024,DSN00008,Separations Digital Printing,--> Select Material,Invoiced,Approved,8.15,0,0,8,8,67.49,550.0435,0,,750,EA,,,,,,,,,,,,,Digital,,,0,LIFT,,,Design Services,Design Services,,0,Creative Services,,,Design Services,,,NOT Kitted,0,0,67.49,0,0,DONE,Other,WIP,DONE,,0,0,Design Services,F0001297-1,,,,
F0007215,1,Quadrille Inc.,Contract,64904,INV6891,4/1/2025,,4/4/2025,4/23/2025,4/23/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,0,0,250,250,0,,0,EA,,,,,,,,,"<span style=""color:red""><i class=""fas fa-sync""></i></span> Reprint",Reprint,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007215-1,Reprint,,,Invoiced
F0006150,3,Quadrille Inc.,Contract,64756,INV5975,1/30/2025,,2/18/2025,2/21/2025,2/21/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,"<span style=""color:green""><i class=""fas fa-envelope""></i></span> Confirmation_Resend",Confirmation_Resend,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006150-3,Confirmat,,,Invoiced
F0004949,3,Mally Skok Design,Contract,4757,INV5970,10/31/2024,,12/12/2024,1/27/2025,2/21/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 50 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0004949-3,,,,Invoiced
F0005525,4,Meg Braff Designs,Contract,764,INV5840,12/9/2024,,1/20/2025,2/2/2025,2/1/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 250 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0005525-4,,,,Invoiced
F0005864,3,Meg Braff Designs,Contract,807,INV8719,1/13/2025,,2/24/2025,2/9/2025,4/16/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0005864-3,,,,Invoiced
F0006041,3,Tillett Textiles,MTO,TILPO2010590,INV6646,1/27/2025,,3/6/2025,3/6/2025,3/6/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006041-3,,,,Invoiced
F0006628,2,Quadrille Inc.,Contract,64923,INV6871,2/26/2025,,3/12/2025,3/24/2025,4/22/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,0,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006628-2,,,,Invoiced
F0006963,3,Meg Braff Designs,Contract,PO112,INV6758,3/14/2025,,4/18/2025,3/24/2025,3/21/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006963-3,,,,Invoiced
F0007281,4,Meg Braff Designs,Contract,PO162,INV7719,4/4/2025,,5/16/2025,4/11/2025,6/12/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,F0007281,Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007281-4,,,,Invoiced
F0007339,4,Meg Braff Designs,Contract,PO164,INV7717,4/9/2025,,5/16/2025,4/16/2025,4/16/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007339-4,,,,Invoiced
F0007344,3,Quadrille Inc.,Contract,PO065133,INV6866,4/9/2025,,5/12/2025,4/18/2025,4/18/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007344-3,,,,Invoiced
F0007186,3,Quadrille Inc.,Contract,PO065063,INV9877,3/28/2025,,5/9/2025,4/11/2025,4/21/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007186-3,,,,Invoiced
F0007907,2,Meg Braff Designs,Contract,PO203,INV8717,4/24/2025,,6/3/2025,5/30/2025,6/1/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007907-2,,,,Invoiced
F0006064,3,Quadrille Inc.,Contract,64726,INV5976,1/27/2025,,3/13/2025,2/21/2025,2/21/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006064-3,,,,Invoiced
F0006861,3,Tillett Textiles,MTO,TILPO2013923,INV6510,3/11/2025,,4/15/2025,3/28/2025,3/28/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006861-3,,,,Invoiced
F0007690,3,F. SCHUMACHER & CO - MTO,Hub,SPO2017121,INV7520,4/17/2025,,4/29/2025,5/30/2025,6/17/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007690-3,,,,Invoiced
F0007838,3,Quadrille Inc.,Contract,PO065214,INV7374,4/22/2025,,5/20/2025,5/21/2025,5/21/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007838-3,,,,Invoiced
F0006227,7,Tillett Textiles,MTO,TILPO2011430,INV5843,2/4/2025,,2/14/2025,2/13/2025,2/13/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006227-7,,,,Invoiced
F0007283,3,Meg Braff Designs,Contract,PO161,INV6740,4/4/2025,,5/16/2025,4/11/2025,4/11/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,F0007283,Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007283-3,,,,Invoiced
F0007257,4,Meg Braff Designs,Contract,PO152,INV6880,4/3/2025,,5/15/2025,4/22/2025,4/22/2025,SUW,SET-UP FEE - SUW (WALLPAPER UNDER 60 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0007257-4,,,,Invoiced
F0006755,3,Meg Braff Designs,Contract,PO85,INV6398,3/4/2025,,,3/19/2025,3/19/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006755-3,,,,Invoiced
F0006058,3,Tillett Textiles,MTO,TILPO2010591,INV6163,1/27/2025,,3/6/2025,3/6/2025,3/6/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006058-3,,,,Invoiced
F0005534,3,Tillett Textiles,MTO,TILPO2008433,INV5590,12/10/2024,,1/21/2025,1/28/2025,1/28/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 50 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0005534-3,,,,Invoiced
F0006229,7,Tillett Textiles,MTO,TILPO2011430,INV5913,2/4/2025,,2/14/2025,2/16/2025,2/15/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006229-7,,,,Invoiced
F0006227,6,Tillett Textiles,MTO,TILPO2011430,INV5843,2/4/2025,,2/14/2025,2/13/2025,2/13/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006227-6,,,,Invoiced
F0006229,8,Tillett Textiles,MTO,TILPO2011430,INV5913,2/4/2025,,2/14/2025,2/16/2025,2/15/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006229-8,,,,Invoiced
F0006488,3,Quadrille Inc.,Contract,64879,INV6122,2/20/2025,,3/6/2025,2/28/2025,2/28/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006488-3,,,,Invoiced
F0005966,4,Quadrille Inc.,Contract,64679,INV6083,1/21/2025,,2/28/2025,2/28/2025,2/28/2025,SPRUSH,SCREEN PRINT RUSH FEE,MISC CHARGE,Invoiced,Approved,1,0,0,1,1,250,250,0,,250,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Rush Fee - Screen Print,Fees,,1,MISC CHARGE,,,Rush Fee - Screen Print,,,NOT Kitted,0,0,250,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0005966-4,,,,Invoiced
F0005511,3,Serena & Lily,Contract,Original: 10771233/New: 10797250,INV6961,12/6/2024,,5/9/2025,4/25/2025,4/25/2025,HANDLING,Handling Fee,MISC CHARGE,Invoiced,Approved,1,0,0,1,0,25,25,0,,0,EA,,,,,,,,,,,,,Digital,0,36,0,LIFT,,,Handling Fee,Fees,,0,MISC CHARGE,,,Handling Fee,,,NOT Kitted,0,0,25,0,0,DONE,Other,WIP,DONE,,0,0,Digital,F0005511-3,,,,Invoiced
F0005982,3,Tillett Textiles,MTO,TILPO2010275,INV5674,1/21/2025,,3/4/2025,2/2/2025,2/1/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,0,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0005982-3,,,,Invoiced
F0006235,6,Tillett Textiles,MTO,TILPO2011430,INV5844,2/4/2025,,2/14/2025,2/13/2025,2/15/2025,SUF,SET-UP FEE - SUF (FABRIC UNDER 24 YDS),MISC CHARGE,Invoiced,Approved,1,0,0,1,1,150,150,0,,150,EA,,,,,,,,,,,,,Screen Print,0,36,,LIFT,,,Set-up Fee,Fees,,1,MISC CHARGE,,,Set-up Fee,,,NOT Kitted,0,0,150,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,F0006235-6,,,,Invoiced
